Tahun,Kecamatan,Kelas_Lahan,Luas_Ha
2015,Abiansemal,Badan Air,0.27
2015,Kuta,Badan Air,72.17999999999999
2015,Kuta Selatan,Badan Air,28.709999999999997
2015,Kuta Utara,Badan Air,0.54
2015,Mengwi,Badan Air,0.18
2015,Petang,Badan Air,0.0
2015,Abiansemal,Lahan Terbangun,1125.8999999999999
2015,Kuta,Lahan Terbangun,1526.22
2015,Kuta Selatan,Lahan Terbangun,2920.5
2015,Kuta Utara,Lahan Terbangun,1797.03
2015,Mengwi,Lahan Terbangun,1838.8799999999999
2015,Petang,Lahan Terbangun,313.74
2015,Abiansemal,Lahan Terbuka,14.94
2015,Kuta,Lahan Terbuka,82.35
2015,Kuta Selatan,Lahan Terbuka,753.5699999999999
2015,Kuta Utara,Lahan Terbuka,56.07
2015,Mengwi,Lahan Terbuka,41.22
2015,Petang,Lahan Terbuka,3.15
2015,Abiansemal,Lahan Sawah,2968.92
2015,Kuta,Lahan Sawah,147.69
2015,Kuta Selatan,Lahan Sawah,0.0
2015,Kuta Utara,Lahan Sawah,1278.0
2015,Mengwi,Lahan Sawah,4629.69
2015,Petang,Lahan Sawah,1239.21
2015,Abiansemal,Lahan Vegetasi Lainnya,2467.08
2015,Kuta,Lahan Vegetasi Lainnya,417.06
2015,Kuta Selatan,Lahan Vegetasi Lainnya,6412.7699999999995
2015,Kuta Utara,Lahan Vegetasi Lainnya,372.15
2015,Mengwi,Lahan Vegetasi Lainnya,1727.1
2015,Petang,Lahan Vegetasi Lainnya,7691.13
2020,Abiansemal,Badan Air,0.0
2020,Kuta,Badan Air,42.93
2020,Kuta Selatan,Badan Air,29.79
2020,Kuta Utara,Badan Air,0.8099999999999999
2020,Mengwi,Badan Air,1.3499999999999999
2020,Petang,Badan Air,0.18
2020,Abiansemal,Lahan Terbangun,1392.84
2020,Kuta,Lahan Terbangun,1535.85
2020,Kuta Selatan,Lahan Terbangun,3741.75
2020,Kuta Utara,Lahan Terbangun,2176.29
2020,Mengwi,Lahan Terbangun,2169.63
2020,Petang,Lahan Terbangun,408.24
2020,Abiansemal,Lahan Terbuka,8.64
2020,Kuta,Lahan Terbuka,169.47
2020,Kuta Selatan,Lahan Terbuka,1070.01
2020,Kuta Utara,Lahan Terbuka,50.85
2020,Mengwi,Lahan Terbuka,25.2
2020,Petang,Lahan Terbuka,3.06
2020,Abiansemal,Lahan Sawah,2787.21
2020,Kuta,Lahan Sawah,120.24
2020,Kuta Selatan,Lahan Sawah,0.0
2020,Kuta Utara,Lahan Sawah,924.03
2020,Mengwi,Lahan Sawah,4107.87
2020,Petang,Lahan Sawah,1671.75
2020,Abiansemal,Lahan Vegetasi Lainnya,2388.42
2020,Kuta,Lahan Vegetasi Lainnya,377.01
2020,Kuta Selatan,Lahan Vegetasi Lainnya,5274.0
2020,Kuta Utara,Lahan Vegetasi Lainnya,351.81
2020,Mengwi,Lahan Vegetasi Lainnya,1933.02
2020,Petang,Lahan Vegetasi Lainnya,7164.0
2025,Abiansemal,Badan Air,0.27
2025,Kuta,Badan Air,49.14
2025,Kuta Selatan,Badan Air,25.47
2025,Kuta Utara,Badan Air,0.63
2025,Mengwi,Badan Air,2.88
2025,Petang,Badan Air,6.12
2025,Abiansemal,Lahan Terbangun,1477.8899999999999
2025,Kuta,Lahan Terbangun,1499.22
2025,Kuta Selatan,Lahan Terbangun,3972.69
2025,Kuta Utara,Lahan Terbangun,2295.81
2025,Mengwi,Lahan Terbangun,2451.33
2025,Petang,Lahan Terbangun,393.12
2025,Abiansemal,Lahan Terbuka,3.42
2025,Kuta,Lahan Terbuka,24.57
2025,Kuta Selatan,Lahan Terbuka,223.92
2025,Kuta Utara,Lahan Terbuka,18.45
2025,Mengwi,Lahan Terbuka,12.959999999999999
2025,Petang,Lahan Terbuka,1.7999999999999998
2025,Abiansemal,Lahan Sawah,2415.42
2025,Kuta,Lahan Sawah,110.78999999999999
2025,Kuta Selatan,Lahan Sawah,0.0
2025,Kuta Utara,Lahan Sawah,697.14
2025,Mengwi,Lahan Sawah,3621.87
2025,Petang,Lahan Sawah,1165.5
2025,Abiansemal,Lahan Vegetasi Lainnya,2556.72
2025,Kuta,Lahan Vegetasi Lainnya,508.77
2025,Kuta Selatan,Lahan Vegetasi Lainnya,5710.05
2025,Kuta Utara,Lahan Vegetasi Lainnya,427.95
2025,Mengwi,Lahan Vegetasi Lainnya,1986.03
2025,Petang,Lahan Vegetasi Lainnya,7501.23
2030,Abiansemal,Badan Air,0.0
2030,Abiansemal,Lahan Terbangun,1913.58
2030,Abiansemal,Lahan Terbuka,11.7
2030,Abiansemal,Lahan Sawah,2512.62
2030,Abiansemal,Lahan Vegetasi Lainnya,2130.48
2030,Kuta,Badan Air,79.47
2030,Kuta,Lahan Terbangun,1912.23
2030,Kuta,Lahan Terbuka,43.65
2030,Kuta,Lahan Sawah,6.93
2030,Kuta,Lahan Vegetasi Lainnya,202.32
2030,Kuta Selatan,Badan Air,37.71
2030,Kuta Selatan,Lahan Terbangun,6249.33
2030,Kuta Selatan,Lahan Terbuka,364.05
2030,Kuta Selatan,Lahan Sawah,0.0
2030,Kuta Selatan,Lahan Vegetasi Lainnya,3443.4
2030,Kuta Utara,Badan Air,0.45
2030,Kuta Utara,Lahan Terbangun,2982.6
2030,Kuta Utara,Lahan Terbuka,3.42
2030,Kuta Utara,Lahan Sawah,406.26
2030,Kuta Utara,Lahan Vegetasi Lainnya,105.12
2030,Mengwi,Badan Air,0.63
2030,Mengwi,Lahan Terbangun,3197.43
2030,Mengwi,Lahan Terbuka,10.44
2030,Mengwi,Lahan Sawah,3587.85
2030,Mengwi,Lahan Vegetasi Lainnya,1418.31
2030,Petang,Badan Air,2.25
2030,Petang,Lahan Terbangun,329.67
2030,Petang,Lahan Terbuka,3.24
2030,Petang,Lahan Sawah,1260.72
2030,Petang,Lahan Vegetasi Lainnya,7641.18
